source target similarity
GTF2IRD1 SOX10 0.0544505518357
CTNNB1 ETV5 1.33350318253
EGR3 SOX15 0.013666954603
PRDM1 ZNF143 0.0016357868577
SMAD1 ZNF238 0.00807292399551
SMAD5 STAT3 0.00228626430301
CEBPB HSD11B1 0.613753462241
ETV7 SRF 0.00329723560591
STAT1 HOXD3 0.0214412967113
RELA E2F2 0.0213093793619
FJX1 RBPJ 0.00197035045138
JUNB RELA 0.00155783539341
CEBPB MAD1L1 0.00551550386249
RUNX1 STAT3 0.00295328437419
MYCN EGR2 0.00560094926788
NR3C1 IRF1 0.00416925947909
TBX5 POU2F1 0.00656974767446
IRF1 POU3F3 0.00768187040312
TCF7L2 CASP3 0.0894564134095
E2F3 MEIS2 0.00960721391508
TCF3 CREM 0.00874263305551
IRF1 REST 0.00562611766775
TMEM47 FOXO1 0.00160989647068
SREBF2 SOX15 0.0127062369493
NFYC HSF1 0.00425726821418
SREBF2 ELK3 0.0124449813554
TFCP2L1 CREM 0.00643865884245
ARNTL2 EGR1 0.00398303275743
IKZF1 GLI3 0.00882372432756
DLX5 DLX2 0.0226920002782
MAZ DEAF1 0.00469223982744
IRF8 DLX1 0.0214373888895
TBX5 BHLHE41 0.00425344754404
MXD4 HINFP 0.00581810886151
EGR2 POU4F1 0.0537939040222
NFIX SREBF2 0.00436434019395
CDKN1A E2F1 0.00536697678637
FOS CIZ1 0.008710491854
TCF3 MXD3 0.00900708660964
HOXB3 STAT1 0.00329552616287
TFAP4 DLX5 0.0527212610597
